business_status,geometry,icon,icon_background_color,icon_mask_base_uri,international_phone_number,name,opening_hours,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 22.6461839, 'lng': 120.3305705}, 'viewport': {'northeast': {'lat': 22.64758137989272, 'lng': 120.3319221798927}, 'southwest': {'lat': 22.64488172010728, 'lng': 120.3292225201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,,Ça marche 薩瑪法國小館,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108030580938811744872"">Chih-Kang Chou</a>'], 'photo_reference': 'AZLasHokOHq0lyseYEWdlaYMyEepERrs45cO6oCo2hBiTSJovboVlvQNbespmItCgK-vdHIcuVhnswZWZ6fydxSWZhvvT9BezK_z_2PMNeawHuIH_YlqmYTMzxV9c7yXwztgIXmcwTNOSt59Gg0kDE66wEK0gupemMMxFSUov10uTJtpQK2kODnrwXWmogu5ydQXbDjrcwoBebXfzS-X0CEofAUZsF8ZGG9cbjscx4OYsJMyuqlz-v1EOaeiy7QUYje3uM3rfJdfNAC8y_-0jkxOdhT3DzvBGAGsvF0d445I3wyLsxvqcRmxE4BcYiqKMOaELTAX_lKgJxYgD7j0b22W2GVbBNukzPiWod-e5grRiplvG7HOxzoPoJPh5UkTtvTDOkDitInkLDUvk1OtmS7m0cHHLgWAm33cLRCAFNG_3eoFookkJM-wU1Gz1luSS8P02x1G1cvYta1mhCHjc4vHpiEpPJT24c0vFzdjy_cX3u_wzhlCtHTmboSKjpWW9lG7nhn2ki9jDEmPxvyEkBmLcmZHofyBHI5QUYQpsen3XnQXMqe4rJ1kV5tCxCNqUrIbOhQKGzsLD7VOmQ', 'width': 4000}]",ChIJr5heMa4FbjQRBNpA9PmI78s,,4.7,ChIJr5heMa4FbjQRBNpA9PmI78s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",250,正氣街14號
OPERATIONAL,"{'location': {'lat': 22.6504672, 'lng': 120.3317489}, 'viewport': {'northeast': {'lat': 22.65177512989272, 'lng': 120.3330300298927}, 'southwest': {'lat': 22.64907547010728, 'lng': 120.3303303701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 975 373 174,糧居。溫泉蛋豬油拌飯 _吃到飽 55元起。自助外帶送香腸片,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112992482049294718833"">林瑋竣</a>'], 'photo_reference': 'AZLasHqcrUbuoXpGmbiZqIWbEKnLtp6yaRXa5ig3WdWr6ZfHPBKiYFDqdDAJTQQEKL6dLQvlB6nlzLs3-0PwzyekjG_lC9uCW0o7AmUEApNO3fMIHkFCqmYdLtGIPZMtWEK-HMurT0nd_jUhAH-eagCIaEk6SlYUQ3pfgcaiuVndL1hn3Mu9n-_XfJw2waZXZExRvwJaeNuMMoWlRV9xT8nijzDDbVyo8-sGoVaS9lTJi_5_9Tyt4N2bMaN_DmPLNvrZDGCWChOjz4t20uALA-96SztxIqBglHi8c1lj-MQMgMq43zhoQ5-rDt0dgKiV_MZO_9qN_x4mHz9B2f31xogoKecjT5iiKp7Y1dVgEb_HrU0MXXWyKGO443lrlaIFzcc3QeTSi3d_FyIohIXNMlfI86d506AqqDffYEAbpASZGLHHfCsLA7rRYNPeQTVffpaGmAeVGIYiMN91c7EpiC3CGtuKvSifvbsfIyUzFEEi6bz5HIo7h7Ur-OvF3dtCGyCYFMe6pIg5obXphC1IqBa0uPe1J89b9ZuiDjMqU0pS0BTuYkAMb2oaN_qm3IpjSvqOSByDYN7Z', 'width': 1920}]",ChIJ1dt0G6sFbjQRDFLcge216O8,1,4.6,ChIJ1dt0G6sFbjQRDFLcge216O8,GOOGLE,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",518,大昌二路442號
OPERATIONAL,"{'location': {'lat': 22.64131, 'lng': 120.3476527}, 'viewport': {'northeast': {'lat': 22.64272577989273, 'lng': 120.3490200798928}, 'southwest': {'lat': 22.64002612010728, 'lng': 120.3463204201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 7 780 3318,一玖 いざかや,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114869686578993064655"">妹妹</a>'], 'photo_reference': 'AZLasHp02HFnbb3_BaVFsInm4jnaTpUmOlhD4jvzZCxeT-BWWaoQcNPHlysiMhFqD2H10t_KnOUd-m_Blv8s9eUW2znSv9jmfWTL091yhoV_8O_2_7l_3i1lxa79U0s7Pd4gSgJUqpTucqAzJU7VucyUzvBPsr_AvOpmKhNtP-KjMok0vB15K1uUCpWDchOAWEV9hamJJyddufqrNsrG3qEr-UCgjK7rABnUDJjxc6b1To_6zXdhWrk3ZhNSOk8DK-x6NXEP7h33vQxJnCsxxK6ibu4Zbn5akA_6eSlGXNGCZ6ViF_Saor1OqRxp4HLNDVQw5ca7qkaj3CH-FrWwgHhXTXgIjKr5QfAZzJEa0LcEvpVeAIZ2T7Hsgr1OTrxkO-UlnXk9ghXGGLozUQugscReyKCGUnaxUPjsbzEEetZKcrDILRvmaoi_K6rXmZmKzn8tN8bYviUEyT80MZx0FWB123O68MBxaU44fQkgJhSmpkDTJZ7SzJsAMCQpxmwhVq_DuWB8BNYT5d-navmY8pUCQj_tTC0PBiQFprz9tra3ZO5hY98soL3NRlyFsA2iFVztQCc7meXPopzUOw', 'width': 4032}]",ChIJO0wyE-IbbjQRxm7yZZBAxrY,,4.5,ChIJO0wyE-IbbjQRxm7yZZBAxrY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",894,文衡路457號
OPERATIONAL,"{'location': {'lat': 22.6397043, 'lng': 120.3449832}, 'viewport': {'northeast': {'lat': 22.64100342989272, 'lng': 120.3464177298927}, 'southwest': {'lat': 22.63830377010728, 'lng': 120.3437180701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 983 387 409,蝦搞活蝦海鮮餐廳（澄清店）,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114653614610255518039"">王涵駿（玩具）</a>'], 'photo_reference': 'AZLasHpdtOkzuAhQ1lZ73I2p2ypBYaKFzONfxo5xBnZ8YKyKb_NsVfbRH0x0ypEETiQ_xgcGfxI1QufUVOYr3C6oEORvGMWIAeAWTeZF7lFjHFbCJqbGOtHqvvOIiEPKJNfADiUrBsJcPjurUCI2R4M-iMAj1jUtenyrxi7Wdy56h4Kt_hbQTm36BLloXWIgS9eElsyPF89hiaQXN0GQsr6GWVy3i2J5xjFfwluotLWOQJBd3lCTf5DnEafMAzknSdgENn2lOp73zih1GbKQCus1ygKe9_cYKHz0NvQdHIm5YOtdSNiU-vV5TBpao_5PMb8NksByhmTwdJg1X05THxnWKow1RGrFQiJtCzxN6MlrPBzMXus4kBhlM0Zu1nxQnUm8Dui9J3Jnl4tTzd9MGsZQgrGvhkmRNbvkoYgiupNlhDlL1mSBAOaRsKopDLM91c_V6Wa-FD_bA9BFUL9nYjfl9aIf7lq2evpZ9c42JU-BWGOj9S-I59aoybnrPNZqgZSpuWrlUw2KU1gmNXTvzuaj5uuM8Z-Ac86LUEOVaKGAdqDEefZWVpiUkYbxSYmvh1DkiOSz1Qz8yGo8B5LAe4PW_QZoatA30A', 'width': 4000}]",ChIJgVfxZJIbbjQRAkFHYHcO6l4,2,4.8,ChIJgVfxZJIbbjQRAkFHYHcO6l4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",614,澄清路425號
OPERATIONAL,"{'location': {'lat': 22.6402095, 'lng': 120.3484827}, 'viewport': {'northeast': {'lat': 22.64155912989272, 'lng': 120.3498506298927}, 'southwest': {'lat': 22.63885947010728, 'lng': 120.3471509701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 7 777 7798,NewHouse歐風新食館文濱店,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102800333388799404360"">Nonie Lee</a>'], 'photo_reference': 'AZLasHpW3xpamOF18mEJCxsjAs4t_AvM5-ICiL5LBmblU8L5mL0LsJ6ZJdriGXNGmhNzflVpRMTBfNfHk7eQLRc66tkoiCwuUnwVPQtcdztn_gV7u0lGx9hiZzykb5UvQdgPkiyjIMvfRkYal29TgHLvgrMXe7EOWegw1hPXy6mTn5bPL4bCJ7L0UtttAelo54AZejq6rd4V45W5qEeEq-LkIMsoiEspUzlLqtQsdMA3ICi0_OijeZVdXX42BRJpxcJV7bWpNAHottoxJfZVWlgcY4W-Ur8ZkQaptKiHLMIgf2ULqppc47gscMTlwoME-cdm5h4mRiRBFOAImUhXxPuld7r2T4WGP5WKY6R9nRM1nREJH52bHwIzbwb6BbEISFVlY9hjolIwtYbIvdBeezgsSRZIZyyCrTPJnpO59FeD511eEpmxrS-mcgUhD6PBG4bmkqXCV1s3FT2jjE4F_xYAKEslmPkMoUrT72PFew7RdT5AIjlpRbHNN5TrOz2owz-RsQBYT1VbMOigvDK5pluHZcnvbgo8UUsjqjvIqs250fvE8Ht7eMrSh9o9fF765xC7oT4KZ4Pf', 'width': 4032}]",ChIJeZJzxS4bbjQRazf-vnQupj4,2,4.6,ChIJeZJzxS4bbjQRazf-vnQupj4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2812,文濱路57號
OPERATIONAL,"{'location': {'lat': 22.6480887, 'lng': 120.3303057}, 'viewport': {'northeast': {'lat': 22.64941712989272, 'lng': 120.3315833798927}, 'southwest': {'lat': 22.64671747010728, 'lng': 120.3288837201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 979 703 263,不思義-義式廚房,{'open_now': True},"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112286891169245651798"">vc H</a>'], 'photo_reference': 'AZLasHrHYn5OQKytv2U5U3qeZe4R2aUYV1NDgeHrNOsXbF3jrOvzaxIj-MyUNGO7IvFJueFRYbF90ZHJWLZHLx7-54abpAzrsEz4hMIC-gdAx70KQeiMdW2inzhvjM3NiyBgoyt78vnS0pPLn69C-7xn6HSyEUgqTs0zXeR0mmcHCoTKLkkCA1OaBGBT6OPf4ZilGFz5Mm4hZvGoCd_ax4pOglEZCQqHRkGZXUUUWwIjZr28SaY_A2h0QSJca7616ULURvr4Q_P2fedr953v3bFxMreebJkdrQlH_v7vF0OtVMCCZfW963EcNa6dKS7fzvtAdplksmU-_4ouKXXY2LA43y3jpPb1vIbsk-e8JKG39lpXE1EocylC39Bxey0rJRDJqMPO9c40X36XXg3vQUESfSV5NngvrdANS8xLNUJdvLJ29yaPd3YD2sbHSh2M-R8UznILgHySHYLdGv_deqEXMlYVvlCgKk5gDCzzFxyoHIHZB98WfAbD1neNZ5GU3t5G0qc_ERAqvrvbHmvx55bOlWE47io130Zv1D_7fWL1CJ9d_OUJlH_kFaMnV110RLfuEErmU00v2yGFwg', 'width': 4000}]",ChIJiUvLaNgEbjQRsnbKBEVLdjk,1,4.4,ChIJiUvLaNgEbjQRsnbKBEVLdjk,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2299,正忠路348號
OPERATIONAL,"{'location': {'lat': 22.6469179, 'lng': 120.346846}, 'viewport': {'northeast': {'lat': 22.64826377989272, 'lng': 120.3482258298927}, 'southwest': {'lat': 22.64556412010728, 'lng': 120.3455261701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 7 722 8778,承 居酒屋,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116187513941469872860"">魏聖座</a>'], 'photo_reference': 'AZLasHo_Se48VuwEMn62-_PhXp_3v19OMkYZTzML2D-MBLBQGWy9OqOHfivVwCG6mX_gQ9p2ltmHCepXSA2vB57dqr6FvdiRCQH-K6sp2gt9fs9YxYYwQ-YmoGBTJkxHgqlKYLuoUTmMb05Rr8VFNkfwElgCpxyQ-LBSd3fTO9MzUs-w1ZHHwoDDdiMN5WTk29xJmz_b11RL_HkK4lQ1Tc7nzg1u6v2lwVFb-whpDjx9KCVv_jw79DXKWP4hrh8wqM-lMIdLJ0DWYhMuKle4xhdaagzHVSRMHJDLhtD_xYJAQp96WdBO_AWudhGKVamhOJ762ucoCWPWBYM-gAmb2q8KZCDhYlKDRqL2fm6VpsvmQliNilHoSXc8mXLRvgyj894LStba4epwHWY9am3CaGnDFWv_ewaUHiOlARTSfQqo1QULz1bXdWnhNUsJSLOnjlpDjgHNx9VaB9v4Z8DwLpsWXZ269aZhro-jFL0IcDczaa6RD0h0gPrJadp7OO-dwIoRKXWB856m_42R3V-yBqqGQhDDfvdcfUeKwSstsYv3wKG_B2lb6PIvksDt__McJ-XNhqWnSmWm', 'width': 4000}]",ChIJnduF_LoFbjQRDRlV4kF8R5M,,4.8,ChIJnduF_LoFbjQRDRlV4kF8R5M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",298,澄清路733號
OPERATIONAL,"{'location': {'lat': 22.6352272, 'lng': 120.3624754}, 'viewport': {'northeast': {'lat': 22.63664427989272, 'lng': 120.3637933798927}, 'southwest': {'lat': 22.63394462010728, 'lng': 120.3610937201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 7 719 2333,kk平價海鮮燒烤餐廳,{'open_now': True},"[{'height': 2925, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108470755723744602752"">kk平價海鮮燒烤餐廳</a>'], 'photo_reference': 'AZLasHpvhIKuZHL-n7aQNAdsYyT852fzOfJ7qPYiHH4bXTTyJfZLZbO_hX-jfYlpPonZCs07PcFwD8X2eYBaDIyhj-Sl6bsuns6kZvCLKw0J0vOLjC5BIE-szp8y8YuKUuWCZI8wM34_ovuBMvKV5rqKF039SBJn0TOQa83KKpN--TlpCZKQ0fBbwcSj-5bU2Zp0tm2NrYHK53sl7zH-oJIRjmoxW2xiI7rVwighJNaqgOP8vN41pSO7-1DssQpKxPftlBqIP1pL9FKwxukfDpWCl9Ni4tl87gaEl6hT_vB9Usv_m5eGwH0', 'width': 4000}]",ChIJEWUEwjwbbjQRafVyr9qyHn4,2,4.4,ChIJEWUEwjwbbjQRafVyr9qyHn4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",471,建國路二段53-1號
OPERATIONAL,"{'location': {'lat': 22.6336999, 'lng': 120.3549123}, 'viewport': {'northeast': {'lat': 22.63513267989272, 'lng': 120.3562796298927}, 'southwest': {'lat': 22.63243302010728, 'lng': 120.3535799701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+886 7 710 5709,洋城義大利餐廳-高雄鳳山大全聯店,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117457954978415701266"">許永欣</a>'], 'photo_reference': 'AZLasHquNM4hG81LWj2nqjvToux1fU5PEMmE_S2TNBMpX3lAnLkrn93YwTPcdjnAEw72vmsLneIsey_JYdxyvJ6R43tI60rShqJQDlUWmfuE0OCEbgchR2vfK3t36dB6wks7LVy8waMM-yPiFEEdXNCpmXLQv72sAYijEl-bHKLbhZZOym2PSEGvydhRLQEHRB6F3UoPM7WYlJDdxR8zacp0hY2ZbvmRMrjsPqI7U10d9mk-lt4tzcBDkGrcCzo6Yil0aLScbCL2NmeEJwev-t_Rv8rY4r3pck0wX0H7Z7W0nCLIL37nZQWkSYdFMnbr2XgLqVMfUNMjiRp9UIbODZ3ZTqtaEHdLC3CruyRgFPfjF-Xs289GWTBAcjebudt6rWZB8L--KLkNDR33xDbqNwD9ibAjKfZeAbkU85C6CD4cCIb5q6RUBoDAxgeZHKtoVSybDVoFvvvTgK4SKf_QgaII4-4uuO6ZPGLJrtdGRfDxEjw76Vx0i8NInNvYDBDWBfuUPicrmwv1Mxx2-KRi8uL1-MZEXJaOiEUs0TOVaVs2RjSaH71hxaXbmNxZy7Nnj-mtvsLEZM6-', 'width': 4000}]",ChIJmy1BMVUbbjQRiENXrW9r_Cg,2,4.7,ChIJmy1BMVUbbjQRiENXrW9r_Cg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1720,文化路59號1樓
